Título da checagem,Data da checagem,Natureza da notícia,Candidato(s) favorecidos(s) pela notícia falsa,Agência,Link
Ciro Gomes grava áudio de apoio a Bolsonaro e pede intervenção militar no caso de vitória de Lula #boato,10/3/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/ciro-gomes-grava-audio-de-apoio-bolsonaro-pede-intervencao-militar-no-caso-de-vitoria-de-lula.html
Algoritmo da urna dá 1% para Lula a cada 12% de votos apurados e é a prova da fraude nas eleições #boato,10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/algoritmo-da-urna-da-1-para-lula-a-cada-12-de-votos-apurados-prova-da-fraude-nas-eleicoes.html
Exército pediu código-fonte das urnas eletrônicas porque descobriu fraude no “voto de rebanho” #boato,10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/exercito-pediu-codigo-fonte-das-urnas-eletronicas-porque-descobriu-fraude-voto-de-rebanho.html
Boletim de urna encontrado na rua em Curitiba (Paraná) prova fraude de votos não contabilizados para Bolsonaro nas eleições #boato,10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/boletim-urna-rua-curitiba-fraude-bolsonaro.html
"Hackers russos descobriram fraude nas urnas eletrônicas, avisaram Exército e evitaram vitória de Lula no 1º turno #boato",10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/hackers-russos-descobriram-fraude-nas-urnas-eletronicas-avisaram-exercito-evitaram-vitoria-de-lula-no-1o-turno.html
Bolsonaro posa ao lado de quadro de demônio Baphomet na maçonaria #boato,10/4/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-posa-ao-lado-de-quadro-de-demonio-baphomet-na-maconaria.html
Mortos votaram em Lula em diversas cidades no Nordeste do Brasil #boato,10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/mortos-votaram-em-lula-em-diversas-cidades-no-nordeste-do-brasil.html
"Bolsonaro promete, em templo da maçonaria, entregar o Brasil a satanás caso seja eleito #boato",10/4/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-promete-templo-da-maconaria-entregar-brasil-satanas-caso-seja-eleito.html
Comprovantes de votação mostram que eleitores do Espírito Santo já votaram no segundo turno #boato,10/4/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/comprovantes-votacao-mostram-eleitores-espirito-santo-ja-votaram-segundo-turno.html
Áudio do major Humberto Picolino revela que eleição é teatro para intervenção e que urnas estão conectadas com sistema Starlink e quântico #boato,10/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/major-humberto-picolino-teatro-intervencao.html
Lula mandou sem-teto invadir casa em Guarapuava e pedir “moradia social” #boato,10/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-mandou-sem-teto-invadir-casa-guarapuava-pedir-moradia-social.html
General Augusto Heleno grava áudio sobre intervenção militar no caso da vitória de Lula #boato,10/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/general-augusto-heleno-grava-audio-sobre-intervencao-militar-no-caso-da-vitoria-de-lula.html
Lula acaba de declarar que vai fechar igrejas em 2023 #boato,10/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-acaba-declarar-vai-fechar-igrejas-2023.html
Lula vai implantar banheiros unissex e ideologia de gênero nas escolas se ganhar eleições #boato,10/5/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-vai-implantar-banheiros-unissex-e-ideologia-de-genero-nas-escolas-se-ganhar-eleicoes.html
Alexandre de Moraes renunciou e passou o cargo de presidente do TSE a Dias Toffoli #boato,10/7/2022,Falsa,,Boatos.org,https://www.boatos.org/politica/alexandre-de-moraes-renunciou-passou-cargo-presidente-do-tse-dias-toffoli.html
Lula diz que vai vencer Bolsonaro com a ajuda de Xangô e que nem Jesus vai lhe parar #boato,10/8/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/lula-diz-que-vai-vencer-bolsonaro-com-ajuda-de-xango-e-que-nem-jesus-vai-lhe-parar.html
General Paulo Sérgio grava áudio falando que haverá intervenção militar durante as eleições 2022 #boato,10/8/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/general-paulo-sergio-audio-havera-intervencao-militar-durante-eleicoes-2022.html
"Pesquisa Ipec no Jornal Nacional mostra Bolsonaro com 55%, na frente de Lula no 2º turno das eleições #boato",10/8/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/pesquisa-ipec-jornal-nacional-mostra-bolsonaro-com-55-frente-de-lula-2o-turno-das-eleicoes.html
Bolsonarista que inventou fake news do banheiro unissex do PT foi preso por pedofilia #boato,10/8/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonarista-que-inventou-fake-news-do-banheiro-unissex-do-pt-foi-preso-por-pedofilia.html
"Projeto de Voto Auditável para eleições 2022 foi acatado por Rodrigo Pacheco, presidente do Senado #boato",10/8/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/projeto-voto-auditavel-para-eleicoes-2022-acatado-rodrigo-pacheco-presidente-do-senado.html
Fonte militar de Brasília (do governo) garante que houve fraude e que haverá intervenção após 2º turno das eleições #boato,10/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/fonte-militar-brasilia-governo-garante-houve-fraude-e-havera-intervencao-apos-2-turno-eleicoes.html
Gleisi Hoffmann pede suspensão do WhatsApp até o fim do 2º turno das eleições de 2022 #boato,10/9/2022,Falsa,Jair Bolsonaro,Boatos.org,https://www.boatos.org/politica/gleisi-hoffmann-suspensao-whatsapp-2-turno-eleicoes-2022.html
Bolsonaro planeja acabar com o feriado de 12 de outubro (Dia da Nossa Senhora Aparecida) #boato,10/9/2022,Falsa,Lula,Boatos.org,https://www.boatos.org/politica/bolsonaro-planeja-acabar-com-o-feriado-de-12-de-outubro-dia-da-nossa-senhora-aparecida-boato.html
